"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 22 18:45:46 GMT 2024","Thu Feb 22 18:45:46 GMT 2024","45","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Thu Feb 22 18:45:48 GMT 2024","Thu Feb 22 18:45:49 GMT 2024","1088","test","test_hootel","TestHootel","","","test_hotel_list",""
